,product_name,to_retail_gate
0,PORK MEAT,Per kg carcass weight
1,Average ,4.621484423
6,CHICKEN MEAT,Per kg carcass weight
7,Average ,3.262298031
11,EGGS,Per kg with shell
12,Average ,2.526441574
15,BEEF,Per kg carcass weight
16,Average ,23.80216746
0,PASTEURIZED MILK (3% FAT),Per kg pasteurized milk
1,Average,1.36935455
2,BUTTER (82% FAT),Per kg butter
3,Average ,12.66705193
7,YOGURT (3% FAT),Per kg yogurt
8,Average ,1.538219779
11,CREAM (40% FAT),Per kg cream
12,Average ,6.469371749
15,HARD CHEESE (38% FAT),Per kg hard cheese
16,Average ,12.56486777
21,DESSERT CHEESE (25% FAT),Per kg dessert cheese
22,Average ,8.363223794
27,CRÈME FRAICHE (34% FAT),Per kg cr√®me fraiche
28,Average ,5.710089322
31,MILK POWDER,Per kg milk powder
32,Average ,11.7851491
,,
,,
,,
1,SALMON,Per kg edible weight
2,Norway,6.065231518
3,COD,Per kg edible weight
4,Average ,7.29340867
,,
,,
7,ROE (FROM COD FISH),Per kg edible weight
8,Average ,2.005864863
,,
,,
11,HERRING,Per kg edible weight
12,Average ,1.137124466
,,
,,
15,MACKEREL,Per kg edible weight
16,Average ,1.035272146
,,
,,
,,
20,SAITHE,Per kg edible weight
21,Average ,4.900359303
,,
,,
,,
,,
26,NORTHERN PRAWN,Per kg edible weight
27,Norway and Denmark,14.44294447
28,ALASKA POLLOCK,Per kg edible weight
29,United States,3.376893088
30,RAINBOW TROUT,Per kg edible weight
31,Sweden,6.10321773
32,PANGASIUS,Per kg edible weight
33,Vietnam,13.86612846
34,EUROPEAN PLAICE,Per kg edible weight
35,Average ,23.28046736
,,
,,
38,HOKI,Per kg edible weight
39,Average ,7.148932597
,,
,,
,,
,,
2,WHEAT,Per kg milled wheat
3,Average of winter wheat and spring wheat,1.176855587
,,
,,
6,RYE,Per kg milled rye
7,Sweden,1.062139839
8,BARLEY,Per kg milled barley
9,Average of winter barley and spring barley,1.149947423
,,
,,
12,OATS,Per kg milled oats
13,Sweden,1.184860243
14,RICE,Per kg milled rice
15,Average,3.579564355
,,
,,
,,
19,RAPESEED/RAPESEED OIL,Per liter rapeseed oil
20,Average,2.373003323
,,
,,
,,
24,OLIVE/OLIVE OIL,Per liter olive oil
25,Average,4.044846694
,,
,,
,,
,,
30,SUGAR BEET/SUGAR,Per kg sugar
31,Sweden,1.523165461
0,TOMATO,Per kg tomato
1,Average,1.493989349
,,
,,
,,
,,
,,
,,
8,CUCUMBER,Per kg cucumber
9,Average,0.734100042
,,
,,
,,
,,
,,
,,
16,BELL PEPPER,Per kg bell pepper
17,Average,2.333728229
,,
,,
,,
,,
,,
23,ICEBERG LETTUCE,Per kg iceberg lettuce
24,Average,0.322647658
,,
,,
,,
28,POTATO,Per kg potato
29,Average,0.375638513
,,
,,
,,
33,CARROT,Per kg carrot
34,Average,0.298370864
,,
,,
37,ONION,Per kg onion
38,Average,0.381612481
,,
,,
,,
42,LEEK,Per kg leek
43,Average,0.395561437
,,
,,
,,
47,BROCCOLI,Per kg broccoli
